[00000] 0200002A 4EFA | 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 | 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00002000 | 0000 00000
[00033] 02015300 4EFB | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00034] 0200B288 284E | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00035] 0200B28A 40C5 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0000B190 020000F6 0000FFD0 | 2700 00000
[00036] 0200B28C 4845 | 0000773F 00000000 CC000505 00000000 00000000 00002709 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0000B190 020000F6 0000FFD0 | 2709 01001
[00037] 0200B28E 4BFA | 0000773F 00000000 CC000505 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0000B190 020000F6 0000FFD0 | 2709 01001
[00038] 0200B292 4EFA | 0000773F 00000000 CC000505 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2709 01001
[00039] 0200B274 7235 | 0000773F 00000000 CC000505 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2709 01001
[00040] 0200B276 7455 | 0000773F 00000035 CC000505 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2709 01001
[00041] 0200B278 6000 | 0000773F 00000035 00000055 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2709 01001
[00042] 0200B1E4 7104 | 0000773F 00000035 00000055 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2709 01001
[00043] 0200B1E6 4ED5 | 00000000 00000055 00000055 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2700 00000
[00044] 0200B296 7231 | 00000000 00000055 00000055 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2700 00000
[00045] 0200B298 7400 | 00000000 00000031 00000055 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2700 00000
[00046] 0200B29A 4BFA | 00000000 00000031 00000000 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B296 020000F6 0000FFD0 | 2700 00000
[00047] 0200B29E 4EFA | 00000000 00000031 00000000 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B2A2 020000F6 0000FFD0 | 2700 00000
[00048] 0200B1E4 7104 | 00000000 00000031 00000000 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B2A2 020000F6 0000FFD0 | 2700 00000
[00049] 0200B1E6 4ED5 | 00000000 00000000 00000000 00000000 00000000 27090000 00000000 00000000 | 0200337C 7B300000 FFFF5F8E 00000000 020000F6 0200B2A2 020000F6 0000FFD0 | 2704 00100
